2024-06-22 23:06:480 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:83 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (a2a68790c2de461ffdb84e28b76a4fc8)] -> link text: Desktops]
2024-06-22 23:06:737 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:940 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (bdf4d07f16e39b8c157237adb1c42e80)] -> link text: Desktops]
2024-06-22 23:06:181 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:891 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (f769ef1faf7e5d8401fc3b596aacb803)] -> link text: Desktops]
2024-06-22 23:06:680 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:894 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (614d97a0bccd7915b75bf0e42b02dd0a)] -> link text: Desktops]
2024-06-22 23:06:507 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:587 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (3be996605b4d5dea60610736268ac19e)] -> link text: Desktops]
2024-06-22 23:06:922 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:984 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (c10997b83f1a6efd8d7a93bd697a19a4)] -> link text: Desktops]
2024-06-22 23:06:852 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:504 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (532492fe90e08d146ba1260685bba0ca)] -> link text: Desktops]
2024-06-22 23:06:962 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:796 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-22 23:06:812 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 00:06:355 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 00:06:291 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 00:06:44 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 00:06:945 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 08:06:674 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 09:06:202 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 09:06:606 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (3c2bdac9b67b775d9a4ea9e99ec27044)] -> link text: Desktops]
2024-06-23 09:06:416 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 09:06:537 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (3a851f126e46adaf57cb9071fafa4619)] -> link text: Desktops]
2024-06-23 09:06:447 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (3a851f126e46adaf57cb9071fafa4619)] -> link text: Desktops]
2024-06-23 10:06:483 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 10:06:55 INFO  TopMenuPage :71 - mouseHoverOnLaptopsAndNotebooksTab[[ChromeDriver: chrome on windows (9383ce8d033f0f8313bae78e31882283)] -> link text: Laptops & Notebooks]
2024-06-23 10:06:324 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (9383ce8d033f0f8313bae78e31882283)] -> link text: Desktops]
2024-06-23 10:06:908 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 10:06:388 INFO  TopMenuPage :71 - mouseHoverOnLaptopsAndNotebooksTab[[ChromeDriver: chrome on windows (3c1c876d83a159832590dd2fddd2f525)] -> link text: Laptops & Notebooks]
2024-06-23 10:06:180 INFO  ManageBrowser :32 - Chrome Browser Launch.....
